,Date,Lockdown_index
278,2020-10-27,0.038687196110210695
279,2020-10-28,0.038687196110210695
280,2020-10-29,0.038687196110210695
281,2020-10-30,0.038687196110210695
282,2020-10-31,0.038687196110210695
283,2020-11-01,0.038687196110210695
284,2020-11-02,0.038687196110210695
285,2020-11-03,0.038687196110210695
286,2020-11-04,0.038687196110210695
287,2020-11-05,0.038687196110210695
288,2020-11-06,0.038687196110210695
289,2020-11-07,0.038687196110210695
290,2020-11-08,0.038687196110210695
291,2020-11-09,0.038687196110210695
292,2020-11-10,0.038687196110210695
293,2020-11-11,0.038687196110210695
294,2020-11-12,0.038687196110210695
295,2020-11-13,0.038687196110210695
296,2020-11-14,0.038687196110210695
297,2020-11-15,0.038687196110210695
298,2020-11-16,0.038687196110210695
299,2020-11-17,0.038687196110210695
300,2020-11-18,0.038687196110210695
301,2020-11-19,0.038687196110210695
302,2020-11-20,0.038687196110210695
303,2020-11-21,0.038687196110210695
304,2020-11-22,0.038687196110210695
305,2020-11-23,0.038687196110210695
306,2020-11-24,0.038687196110210695
307,2020-11-25,0.038687196110210695
308,2020-11-26,0.038687196110210695
309,2020-11-27,0.038687196110210695
310,2020-11-28,0.038687196110210695
311,2020-11-29,0.038687196110210695
312,2020-11-30,0.038687196110210695
313,2020-12-01,0.038687196110210695
314,2020-12-02,0.038687196110210695
315,2020-12-03,0.038687196110210695
316,2020-12-04,0.038687196110210695
317,2020-12-05,0.038687196110210695
318,2020-12-06,0.038687196110210695
319,2020-12-07,0.038687196110210695
320,2020-12-08,0.038687196110210695
321,2020-12-09,0.038687196110210695
322,2020-12-10,0.038687196110210695
323,2020-12-11,0.038687196110210695
324,2020-12-12,0.038687196110210695
325,2020-12-13,0.038687196110210695
326,2020-12-14,0.038687196110210695
327,2020-12-15,0.038687196110210695
328,2020-12-16,0.038687196110210695
329,2020-12-17,0.038687196110210695
330,2020-12-18,0.038687196110210695
331,2020-12-19,0.038687196110210695
332,2020-12-20,0.038687196110210695
333,2020-12-21,0.038687196110210695
334,2020-12-22,0.038687196110210695
335,2020-12-23,0.038687196110210695
336,2020-12-24,0.038687196110210695
337,2020-12-25,0.038687196110210695
338,2020-12-26,0.038687196110210695
339,2020-12-27,0.038687196110210695
340,2020-12-28,-0.06279578606158834
341,2020-12-29,-0.06279578606158834
342,2020-12-30,-0.06279578606158834
343,2020-12-31,-0.06279578606158834
344,2021-01-01,-0.06279578606158834
345,2021-01-02,-0.06279578606158834
346,2021-01-03,-0.06279578606158834
347,2021-01-04,-0.06279578606158834
348,2021-01-05,-0.06279578606158834
349,2021-01-06,-0.06279578606158834
350,2021-01-07,-0.06279578606158834
351,2021-01-08,-0.06279578606158834
352,2021-01-09,-0.06279578606158834
353,2021-01-10,-0.06279578606158834
354,2021-01-11,-0.06279578606158834
355,2021-01-12,-0.06279578606158834
356,2021-01-13,-0.06279578606158834
357,2021-01-14,-0.06279578606158834
358,2021-01-15,-0.06279578606158834
359,2021-01-16,-0.06279578606158834
360,2021-01-17,-0.06279578606158834
361,2021-01-18,-0.06279578606158834
362,2021-01-19,-0.06279578606158834
363,2021-01-20,-0.06279578606158834
364,2021-01-21,-0.06279578606158834
365,2021-01-22,-0.06279578606158834
366,2021-01-23,-0.06279578606158834
367,2021-01-24,-0.06279578606158834
368,2021-01-25,-0.06279578606158834
369,2021-01-26,-0.06279578606158834
370,2021-01-27,-0.06279578606158834
371,2021-01-28,-0.06279578606158834
372,2021-01-29,-0.06279578606158834
373,2021-01-30,-0.06279578606158834
374,2021-01-31,-0.06279578606158834
375,2021-02-01,-0.06279578606158834
376,2021-02-02,-0.06279578606158834
377,2021-02-03,-0.06279578606158834
378,2021-02-04,-0.06279578606158834
379,2021-02-05,-0.06279578606158834
380,2021-02-06,-0.06279578606158834
381,2021-02-07,-0.06279578606158834
382,2021-02-08,-0.06279578606158834
383,2021-02-09,-0.06279578606158834
384,2021-02-10,-0.06279578606158834
385,2021-02-11,-0.06279578606158834
386,2021-02-12,-0.06279578606158834
387,2021-02-13,-0.06279578606158834
388,2021-02-14,-0.06279578606158834
389,2021-02-15,-0.06279578606158834
390,2021-02-16,-0.06279578606158834
391,2021-02-17,-0.06279578606158834
392,2021-02-18,-0.06279578606158834
393,2021-02-19,-0.06279578606158834
394,2021-02-20,-0.06279578606158834
395,2021-02-21,-0.06279578606158834
396,2021-02-22,-0.06279578606158834
397,2021-02-23,-0.06279578606158834
398,2021-02-24,-0.06279578606158834
399,2021-02-25,-0.06279578606158834
400,2021-02-26,-0.06279578606158834
401,2021-02-27,-0.06279578606158834
402,2021-02-28,-0.06279578606158834
403,2021-03-01,-0.06279578606158834
404,2021-03-02,-0.06279578606158834
405,2021-03-03,-0.06279578606158834
406,2021-03-04,-0.06279578606158834
407,2021-03-05,-0.06279578606158834
408,2021-03-06,-0.06279578606158834
409,2021-03-07,-0.06279578606158834
410,2021-03-08,-0.06279578606158834
411,2021-03-09,-0.06279578606158834
412,2021-03-10,-0.06279578606158834
413,2021-03-11,-0.06279578606158834
414,2021-03-12,-0.06279578606158834
415,2021-03-13,-0.06279578606158834
416,2021-03-14,-0.06279578606158834
417,2021-03-15,-0.06279578606158834
418,2021-03-16,-0.06279578606158834
419,2021-03-17,-0.06279578606158834
420,2021-03-18,-0.06279578606158834
421,2021-03-19,-0.06279578606158834
422,2021-03-20,-0.06279578606158834
423,2021-03-21,-0.06279578606158834
424,2021-03-22,-0.06279578606158834
