,Date,Compulsory_Mask,Eat_In_Ban,Entry_Recording,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation_0.0,Recreation_0.25,Recreation_0.5,Recreation_0.65,Recreation_1.0,Workplace_Closure_0.0,Workplace_Closure_0.33,Workplace_Closure_0.5,Workplace_Closure_0.75,Workplace_Closure_1.0,Worship_0.0,Worship_0.25,Worship_0.5,Worship_0.65,Worship_1.0
79,2020-04-11,0,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
80,2020-04-12,0,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
81,2020-04-13,0,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
82,2020-04-14,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
83,2020-04-15,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
84,2020-04-16,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
85,2020-04-17,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
86,2020-04-18,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
87,2020-04-19,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
88,2020-04-20,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
89,2020-04-21,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
90,2020-04-22,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
91,2020-04-23,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
92,2020-04-24,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
93,2020-04-25,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
94,2020-04-26,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
95,2020-04-27,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
96,2020-04-28,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
97,2020-04-29,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
98,2020-04-30,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
99,2020-05-01,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
100,2020-05-02,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
101,2020-05-03,1,0,0,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
102,2020-05-04,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
103,2020-05-05,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
104,2020-05-06,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
105,2020-05-07,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
106,2020-05-08,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
107,2020-05-09,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
108,2020-05-10,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
109,2020-05-11,1,0,0,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
110,2020-05-12,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
111,2020-05-13,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
112,2020-05-14,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
113,2020-05-15,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
114,2020-05-16,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
115,2020-05-17,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
116,2020-05-18,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
117,2020-05-19,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
118,2020-05-20,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
119,2020-05-21,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
120,2020-05-22,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
121,2020-05-23,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
122,2020-05-24,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
123,2020-05-25,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
124,2020-05-26,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
125,2020-05-27,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
126,2020-05-28,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
127,2020-05-29,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
128,2020-05-30,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
129,2020-05-31,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
130,2020-06-01,1,0,1,1,1,1.0,1.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
131,2020-06-02,1,0,1,1,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
132,2020-06-03,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
133,2020-06-04,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
134,2020-06-05,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
135,2020-06-06,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
136,2020-06-07,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
137,2020-06-08,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
138,2020-06-09,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
139,2020-06-10,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
140,2020-06-11,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
141,2020-06-12,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
142,2020-06-13,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
143,2020-06-14,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
144,2020-06-15,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,2020-06-16,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
146,2020-06-17,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
147,2020-06-18,1,0,1,0,1,0.03125,1.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
