,Date,Eat_In_Ban,Lockdown,Sch_Closure,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship
144,15/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
145,16/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
146,17/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
147,18/6/2020,1,0,1,0.03125,1,1,0.5,0.03125,1
148,19/6/2020,1,0,1,0.03125,0.3125,1,0.5,0.03125,1
149,20/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,1
150,21/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,1
151,22/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,1
152,23/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,1
153,24/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,1
154,25/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,1
155,26/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,0.75
156,27/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,0.75
157,28/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,0.75
158,29/6/2020,0,0,1,0.03125,0.3125,1,0.5,0.03125,0.75
159,30/6/2020,0,0,0,0.03125,0.3125,1,0.5,0.03125,0.75
160,1/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
161,2/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
162,3/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
163,4/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
164,5/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
165,6/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
166,7/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
167,8/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
168,9/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
169,10/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
170,11/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
171,12/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
172,13/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
173,14/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
174,15/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
175,16/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
176,17/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
177,18/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
178,19/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
179,20/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
180,21/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
181,22/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
182,23/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
183,24/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
184,25/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
185,26/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
186,27/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
187,28/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
188,29/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
189,30/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
190,31/7/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
191,1/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
192,2/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
193,3/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
194,4/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
195,5/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
196,6/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
197,7/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
198,8/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
199,9/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
200,10/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
201,11/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
202,12/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
203,13/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
204,14/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
205,15/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
206,16/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
207,17/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
208,18/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
209,19/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
210,20/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
211,21/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
212,22/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
213,23/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
214,24/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
215,25/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
216,26/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
217,27/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
218,28/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
219,29/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
220,30/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
221,31/8/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
222,1/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
223,2/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
224,3/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
225,4/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
226,5/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
227,6/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
228,7/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
229,8/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
230,9/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
231,10/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
232,11/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
233,12/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
234,13/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
235,14/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
236,15/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
237,16/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
238,17/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
239,18/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
240,19/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
241,20/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
242,21/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
243,22/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
244,23/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
245,24/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
246,25/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
247,26/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
248,27/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
249,28/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
250,29/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
251,30/9/2020,0,0,0,0.03125,0.3125,0.35,0.5,0.03125,0.75
