,Date,Lockdown,Gathering_Max,Mall_Distancing,Recreation,Workplace_Closure,Workplace_Gathering,Worship,Dine_in_Max,School_Restriction
241,2020-09-20,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
242,2020-09-21,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
243,2020-09-22,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
244,2020-09-23,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
245,2020-09-24,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
246,2020-09-25,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
247,2020-09-26,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
248,2020-09-27,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
249,2020-09-28,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
250,2020-09-29,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
251,2020-09-30,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
252,2020-10-01,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
253,2020-10-02,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
254,2020-10-03,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
255,2020-10-04,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
256,2020-10-05,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
257,2020-10-06,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
258,2020-10-07,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
259,2020-10-08,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
260,2020-10-09,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
261,2020-10-10,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
262,2020-10-11,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
263,2020-10-12,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
264,2020-10-13,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
265,2020-10-14,0,0.03125,0.3125,0.35,0.5,0.03125,0.75,0.03125,0.8
